case_id,event_title,gold_theme,primary_theme_name,wrong_subject_key,wrong_theme_name,confidence,match_reason,source_profile_version,evidence_summary,hit_terms,hit_term_roles,root_cause,fix_action
pm_case_0025,,AI/AR眼镜,AR眼镜,9011554,游戏,0.5969,top_candidate_evidence_related,unknown,"{""anchor_terms"": [""游戏""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""游戏""], ""subject_name_hits"": [""游戏""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}",游戏,游戏:main_anchor,broad_policy_profile,rebuild_profile_v2_with_strict_related_policy
pm_case_0040,,SpaceX,9060949,9062206,马斯克四大产业,0.6647,top_candidate_evidence_related,unknown,"{""anchor_terms"": [""SpaceX"", ""星舰"", ""商业航天""], ""support_terms"": [""星舰""], ""conflict_terms"": [], ""theme_name_hits"": [""SpaceX""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}",SpaceX|星舰|商业航天,SpaceX:main_anchor|星舰:main_anchor|商业航天:main_anchor,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0061,,稀土永磁,中美芬太尼合作,9042899,芬太尼,0.5873,top_candidate_evidence_related,unknown,"{""anchor_terms"": [""芬太尼""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""芬太尼""], ""subject_name_hits"": [""芬太尼""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}",芬太尼,芬太尼:main_anchor,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0067,,海洋经济,工业智能体,9014573,港口,0.6076,top_candidate_evidence_related,unknown,"{""anchor_terms"": [""港口""], ""support_terms"": [""国际""], ""conflict_terms"": [], ""theme_name_hits"": [""港口""], ""subject_name_hits"": [""港口""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}",港口|国际|应用规模,国际:support|港口:main_anchor|应用规模:support,broad_policy_profile,rebuild_profile_v2_with_strict_related_policy
pm_case_0076,,光刻胶,光刻胶,9013944,半导体,0.6131,top_candidate_evidence_related,unknown,"{""anchor_terms"": [""半导体"", ""半导体工艺""], ""support_terms"": [], ""conflict_terms"": [""光刻胶""], ""theme_name_hits"": [""半导体""], ""subject_name_hits"": [""半导体""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}",半导体|半导体工艺|芯片|晶圆|材料|设备|封装|芯片制造|晶圆制造,封装:support|晶圆:support|材料:support|芯片:support|设备:support|半导体:main_anchor|晶圆制造:support|芯片制造:support|半导体工艺:main_anchor,broad_policy_profile,rebuild_profile_v2_with_strict_related_policy
pm_case_0077,,光刻胶,半导体设备,9013944,半导体,0.6140,top_candidate_evidence_related,unknown,"{""anchor_terms"": [""半导体"", ""半导体工艺""], ""support_terms"": [], ""conflict_terms"": [""光刻胶""], ""theme_name_hits"": [""半导体""], ""subject_name_hits"": [""半导体""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}",半导体|半导体工艺|芯片|晶圆|材料|设备|封装|芯片制造|晶圆制造|集成电路制造,封装:support|晶圆:support|材料:support|芯片:support|设备:support|半导体:main_anchor|晶圆制造:support|芯片制造:support|半导体工艺:main_anchor|集成电路制造:support,broad_policy_profile,rebuild_profile_v2_with_strict_related_policy
pm_case_0079,,卫星互联,卫星互联网,9060949,9060949,0.6600,top_candidate_evidence_related,unknown,"{""anchor_terms"": [""卫星互联网"", ""商业航天""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""卫星互联网""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}",卫星互联网|商业航天,商业航天:main_anchor|卫星互联网:main_anchor,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
