trade_date,stock_id,subject_key,subject_name,final_cycle_state,final_mainline_alive,state_transition_type,cycle_score_mainline_strength,cycle_score_repair,cycle_score_divergence,cycle_score_fade_watch,cycle_score_fade_confirmed,cycle_alive_pass
2026-04-15,000533,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,301557,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,603985,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,002112,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,603097,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,002300,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,601026,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,688186,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,600973,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,603092,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,603248,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,301555,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,301149,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,301163,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,000753,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,688676,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,001239,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,603218,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,301155,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,603606,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,002204,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,300850,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,300569,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,301063,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,002184,140,,repair,False,,64.32,66.642,100.0,29.48,17.668,False
2026-04-15,600642,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600461,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600777,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,603223,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,603706,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,605090,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,002267,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,000593,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,601686,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,605169,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,002478,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,605368,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600956,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,603689,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,002318,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600098,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,000421,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,603053,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,002911,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600917,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,603080,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600803,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600903,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600635,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600509,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,601857,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,603393,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,002700,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600333,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,600028,54,,divergence,False,,26.7,28.804,63.33,50.105,37.016,False
2026-04-15,300561,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,000555,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,002966,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601288,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,600036,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,002142,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601009,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601998,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,600901,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601665,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,600919,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601658,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,000776,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601963,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601939,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601988,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,603323,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601916,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,002926,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601229,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,002961,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,600908,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,002839,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,002807,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601825,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
