code,name,flag,pct_chg,amount,volume,market_cap,turnover,amount_ratio,subjects_count,file
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9026027_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9014001_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9014001_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9014001_2026-04-20_stocks.jsonl
002962,五方光电,-1,4.21,883949020.38,482647.29,5273309564.16,-0.06,16.762699204836206,16,9014001_2026-04-20_stocks.jsonl
601002,晋亿实业,-1,7.92,807596256,1229868.4,6375664009.599999,0.15,12.66685720552372,8,9011970_2026-04-20_stocks.jsonl
002058,ST威尔,-1,4.98,89229897.75,39239.75,3295008186.04,0,2.7080326576438067,12,9026515_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9042855_2026-04-20_stocks.jsonl
003004,ST声迅,-1,4.85,50311124,15161,2741573216.07,0,1.8351187451459046,2,9028491_2026-04-20_stocks.jsonl
603822,ST嘉澳,-1,2.74,127040006,14667.7,6663877351.639999,-0.02,1.9063977215717378,7,9034195_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9056319_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9056319_2026-04-20_stocks.jsonl
002392,北京利尔,-1,8.67,481845680.68,622647.19,9250113819.029999,0,5.209078397378337,7,9031348_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9041982_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9041982_2026-04-20_stocks.jsonl
000778,新兴铸管,-1,6.5,779347160.03,1627970.67,18825115853.75,0,4.139932875232492,4,9016691_2026-04-20_stocks.jsonl
002528,ST英飞拓,-1,2.42,421356482.48,760070.86,6604699701.82,-0.9,6.379646335228389,9,9016254_2026-04-20_stocks.jsonl
603822,ST嘉澳,-1,2.74,127040006,14667.7,6663877351.639999,-0.02,1.9063977215717378,7,9064956_2026-04-20_stocks.jsonl
603021,ST华鹏,-1,2.56,104038777,128439,2565983521.4,0.12,4.0545380019913955,5,9063703_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9062579_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9055339_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,38,9066139_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9059201_2026-04-20_stocks.jsonl
002392,北京利尔,-1,8.67,481845680.68,622647.19,9250113819.029999,0,5.209078397378337,7,9016949_2026-04-20_stocks.jsonl
002047,ST宝鹰,-1,5.06,263632523.35,457607.53,8809404906.33,0.35,2.9926257920165162,8,9016949_2026-04-20_stocks.jsonl
603021,ST华鹏,-1,2.56,104038777,128439,2565983521.4,0.12,4.0545380019913955,5,9018144_2026-04-20_stocks.jsonl
002528,ST英飞拓,-1,2.42,421356482.48,760070.86,6604699701.82,-0.9,6.379646335228389,9,9035109_2026-04-20_stocks.jsonl
003004,ST声迅,-1,4.85,50311124,15161,2741573216.07,0,1.8351187451459046,2,9022415_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9038540_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9038540_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9053147_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9053147_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9065757_2026-04-20_stocks.jsonl
002528,ST英飞拓,-1,2.42,421356482.48,760070.86,6604699701.82,-0.9,6.379646335228389,9,9016149_2026-04-20_stocks.jsonl
688227,品高股份,-1,15.09,2762722663,237039.65,13189028381.5,0.14,20.94712804527147,19,9043089_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9063449_2026-04-20_stocks.jsonl
000929,ST兰黄,-1,3.73,53187972.43,50301.66,1963546620,0,2.7087705424585233,2,9014347_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9017526_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9010168_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9024880_2026-04-20_stocks.jsonl
002580,圣阳股份,-1,7.91,3503538278.73,1048991.11,14977676769,-0.9,23.391733796668905,41,9024880_2026-04-20_stocks.jsonl
000949,新乡化纤,-1,9.99,995968875.31,1279008.66,13321475372.88,0,7.476415692946473,10,9057642_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9025765_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9056553_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9055600_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,38,9066577_2026-04-20_stocks.jsonl
603822,ST嘉澳,-1,2.74,127040006,14667.7,6663877351.639999,-0.02,1.9063977215717378,7,9062416_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,38,9066143_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9056167_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9056167_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9065423_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9065423_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9050897_2026-04-20_stocks.jsonl
002392,北京利尔,-1,8.67,481845680.68,622647.19,9250113819.029999,0,5.209078397378337,7,9058643_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9064628_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9013933_2026-04-20_stocks.jsonl
002962,五方光电,-1,4.21,883949020.38,482647.29,5273309564.16,-0.06,16.762699204836206,16,9013933_2026-04-20_stocks.jsonl
002058,ST威尔,-1,4.98,89229897.75,39239.75,3295008186.04,0,2.7080326576438067,12,9062339_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9060646_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9060646_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9021093_2026-04-20_stocks.jsonl
003041,真爱美家,-1,6.21,590584250.18,95078.71,8837280000,-0.13,6.682873578521898,24,9021093_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9040555_2026-04-20_stocks.jsonl
601002,晋亿实业,-1,7.92,807596256,1229868.4,6375664009.599999,0.15,12.66685720552372,8,9065709_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9041212_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9041212_2026-04-20_stocks.jsonl
002047,ST宝鹰,-1,5.06,263632523.35,457607.53,8809404906.33,0.35,2.9926257920165162,8,9035600_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9021735_2026-04-20_stocks.jsonl
002047,ST宝鹰,-1,5.06,263632523.35,457607.53,8809404906.33,0.35,2.9926257920165162,8,9037499_2026-04-20_stocks.jsonl
000949,新乡化纤,-1,9.99,995968875.31,1279008.66,13321475372.88,0,7.476415692946473,10,9010317_2026-04-20_stocks.jsonl
000949,新乡化纤,-1,9.99,995968875.31,1279008.66,13321475372.88,0,7.476415692946473,10,9027825_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9065541_2026-04-20_stocks.jsonl
603139,康惠股份,-1,8.03,314371062,96443.02,3250095200,-0.21,9.672672418949452,15,9026151_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9057472_2026-04-20_stocks.jsonl
603822,ST嘉澳,-1,2.74,127040006,14667.7,6663877351.639999,-0.02,1.9063977215717378,7,9026753_2026-04-20_stocks.jsonl
002940,昂利康,-1,1.63,2482731097.27,605739.07,8028781802.799999,-0.13,30.92288666263367,37,9049134_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9065684_2026-04-20_stocks.jsonl
000778,新兴铸管,-1,6.5,779347160.03,1627970.67,18825115853.75,0,4.139932875232492,4,9065684_2026-04-20_stocks.jsonl
603021,ST华鹏,-1,2.56,104038777,128439,2565983521.4,0.12,4.0545380019913955,5,9065684_2026-04-20_stocks.jsonl
603139,康惠股份,-1,8.03,314371062,96443.02,3250095200,-0.21,9.672672418949452,15,9030013_2026-04-20_stocks.jsonl
002962,五方光电,-1,4.21,883949020.38,482647.29,5273309564.16,-0.06,16.762699204836206,16,9045377_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9040246_2026-04-20_stocks.jsonl
001366,播恩集团,-1,9.99,149340846,98531,2511428400,0,5.946450474160442,3,9039574_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9019566_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9054580_2026-04-20_stocks.jsonl
603021,ST华鹏,-1,2.56,104038777,128439,2565983521.4,0.12,4.0545380019913955,5,9021399_2026-04-20_stocks.jsonl
603822,ST嘉澳,-1,2.74,127040006,14667.7,6663877351.639999,-0.02,1.9063977215717378,7,9064639_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9064335_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9044826_2026-04-20_stocks.jsonl
002962,五方光电,-1,4.21,883949020.38,482647.29,5273309564.16,-0.06,16.762699204836206,16,9044826_2026-04-20_stocks.jsonl
001229,魅视科技,-1,9.99,122899920.81,31399.99,4105231605,0,2.993739029493806,11,9033215_2026-04-20_stocks.jsonl
002962,五方光电,-1,4.21,883949020.38,482647.29,5273309564.16,-0.06,16.762699204836206,16,9033215_2026-04-20_stocks.jsonl
000778,新兴铸管,-1,6.5,779347160.03,1627970.67,18825115853.75,0,4.139932875232492,4,9036888_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9062454_2026-04-20_stocks.jsonl
001229,魅视科技,-1,9.99,122899920.81,31399.99,4105231605,0,2.993739029493806,11,9035878_2026-04-20_stocks.jsonl
603139,康惠股份,-1,8.03,314371062,96443.02,3250095200,-0.21,9.672672418949452,15,9017440_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9064422_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9019349_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9019349_2026-04-20_stocks.jsonl
002962,五方光电,-1,4.21,883949020.38,482647.29,5273309564.16,-0.06,16.762699204836206,16,9019349_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9057299_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9057299_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9028541_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9028541_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9037857_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9037857_2026-04-20_stocks.jsonl
002580,圣阳股份,-1,7.91,3503538278.73,1048991.11,14977676769,-0.9,23.391733796668905,41,9037857_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9037857_2026-04-20_stocks.jsonl
001229,魅视科技,-1,9.99,122899920.81,31399.99,4105231605,0,2.993739029493806,11,9035171_2026-04-20_stocks.jsonl
601002,晋亿实业,-1,7.92,807596256,1229868.4,6375664009.599999,0.15,12.66685720552372,8,9039325_2026-04-20_stocks.jsonl
002392,北京利尔,-1,8.67,481845680.68,622647.19,9250113819.029999,0,5.209078397378337,7,9012747_2026-04-20_stocks.jsonl
002580,圣阳股份,-1,7.91,3503538278.73,1048991.11,14977676769,-0.9,23.391733796668905,41,9012747_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9012747_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9023365_2026-04-20_stocks.jsonl
001229,魅视科技,-1,9.99,122899920.81,31399.99,4105231605,0,2.993739029493806,11,9059704_2026-04-20_stocks.jsonl
