code,name,flag,pct_chg,amount,volume,market_cap,turnover,amount_ratio,subjects_count,file_count,files
603052,可川科技,3,10.01,1726232187,193844.33,17228301786.579998,0,10.019746626128004,33,9,9013933_2026-04-20_stocks.jsonl; 9014001_2026-04-20_stocks.jsonl; 9019349_2026-04-20_stocks.jsonl; 9022942_2026-04-20_stocks.jsonl; 9023110_2026-04-20_stocks.jsonl ...等9个文件
600156,华升股份,3,10.04,356683754,356662.17,4097508053.3799996,0,8.704894520116307,31,13,9010467_2026-04-20_stocks.jsonl; 9010818_2026-04-20_stocks.jsonl; 9021093_2026-04-20_stocks.jsonl; 9027744_2026-04-20_stocks.jsonl; 9030805_2026-04-20_stocks.jsonl ...等13个文件
600961,株冶集团,3,10,123611281,50868.84,26070806682.9,0,0.47413677107688956,16,5,9010270_2026-04-20_stocks.jsonl; 9010317_2026-04-20_stocks.jsonl; 9032010_2026-04-20_stocks.jsonl; 9032516_2026-04-20_stocks.jsonl; 9036888_2026-04-20_stocks.jsonl
002297,博云新材,6,10.01,1657136261.28,864474.16,11152619777.74,0,14.858717452087362,34,7,9010818_2026-04-20_stocks.jsonl; 9013314_2026-04-20_stocks.jsonl; 9019807_2026-04-20_stocks.jsonl; 9027969_2026-04-20_stocks.jsonl; 9046092_2026-04-20_stocks.jsonl ...等7个文件
603268,松发股份,3,10,1744684384,132401.1,129443578922.02,0,1.3478338582179041,2,1,9016988_2026-04-20_stocks.jsonl
