subject_key,subject_name,concept,semantic_type,strategy_type,quality,latest_stock_trade_date,latest_leaderboard_trade_date,leaderboard_count,recent_event_count,confusion_subject_keys,generic_anchor_ratio,anchor_count,alias_generic_count,negative_terms_count,confusion_overlap_score,stock_pool_size,recent_heat_score,false_positive_risk,priority_score,generic_terms
9021093,外贸出口,外贸出口,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,149,0,"[""9034920"", ""9059201"", ""9058519"", ""9065105"", ""9062497"", ""9065632"", ""9047066"", ""9018638""]",0.0,2,0,0,0.0714,149,0.1401,0.2679,44.58,[]
9055515,麒麟9020,麒麟9020,技术突破与产业链,industry_chain,weak,2026-05-15,2026-04-24,64,0,[],0.3333,2,0,2,0.0,64,0.0602,0.3,44.5,"[""麒麟芯片制造""]"
9048311,磁悬浮压缩机,磁悬浮压缩机,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,17,0,"[""9011526"", ""9058626"", ""9044802"", ""9016274"", ""9037499"", ""9013314"", ""9059566"", ""9049688""]",0.3333,2,0,1,0.0625,17,0.016,0.3156,44.34,"[""产品""]"
9036191,宇树机器人,宇树机器人,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,40,0,"[""9034824"", ""9044048"", ""9040224"", ""9062142"", ""9014193"", ""9062497"", ""9063449"", ""9012538""]",0.4,3,0,0,0.0741,40,0.0376,0.2985,43.85,"[""参股"", ""应用""]"
9061633,人民币升值,人民币升值,交通运输产业,industry_chain,weak,2026-05-15,2026-04-24,88,0,"[""9027342"", ""9063449"", ""9014383"", ""129"", ""9042073"", ""9064639"", ""9010074"", ""9010317""]",0.0,2,0,0,0.0625,88,0.0828,0.2656,43.0,[]
9062416,中石化重组,中石化重组,公司事件,event_driven,medium,2026-05-15,2026-04-24,10,0,"[""9057205"", ""9036888""]",0.3333,2,0,0,0.25,10,0.0094,0.4625,42.99,"[""中国石油化工集团有限公司""]"
9035600,琴澳一体化,琴澳一体化,政策驱动类基建题材,policy_driven,weak,2026-05-15,2026-04-24,17,0,"[""9060492"", ""9053522"", ""9012396"", ""9034544"", ""9033292"", ""9011768"", ""9022363"", ""9027624""]",0.0,2,0,0,0.1667,17,0.016,0.2917,42.9,[]
9041212,腾讯元宝,腾讯元宝,公司事件,event_driven,weak,2026-05-15,2026-04-24,38,0,"[""9063716"", ""9063449"", ""9062682""]",0.0,2,0,0,0.125,38,0.0357,0.2812,42.77,[]
140,风电,风电,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,65,0,"[""9017846"", ""9065824"", ""9064956"", ""9060591"", ""9012624"", ""9013416"", ""9044138""]",0.3333,4,0,0,0.0588,65,0.0611,0.2647,42.41,"[""上游"", ""下游""]"
9055879,国产AI芯片大全,国产AI芯片大全,企业群体分类,industry_chain,weak,2026-05-15,2026-04-24,62,0,"[""9017774""]",0.0,2,0,0,0.0556,62,0.0583,0.2639,42.29,[]
9027861,房地产服务,房地产服务,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,15,0,"[""9013718"", ""9063449""]",0.0,2,0,0,0.1176,15,0.0141,0.2794,42.12,[]
9013989,教育,教育,政策驱动型教育服务,policy_driven,weak,2026-05-15,2026-04-24,44,0,"[""9023826"", ""9054096"", ""9030019"", ""9024980"", ""9056088"", ""9050942""]",0.0,2,0,0,0.0714,44,0.0414,0.2679,42.11,[]
9046378,东盟自贸区,东盟自贸区,节庆消费事件,event_driven,weak,2026-05-15,2026-04-24,18,0,"[""9035559"", ""9034544"", ""9027342"", ""9011768"", ""9054349"", ""9022363"", ""9012747"", ""9011446""]",0.0,2,0,0,0.1111,18,0.0169,0.2778,42.09,[]
9033525,统一大市场,统一大市场,政策驱动型组织变革,policy_driven,weak,2026-05-15,2026-04-24,57,0,"[""9023196"", ""9029292"", ""9013021"", ""9014573""]",0.0,2,0,0,0.0455,57,0.0536,0.2614,42.02,[]
9011526,工业母机,工业母机,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,32,0,"[""9058626"", ""9048311"", ""9024589"", ""9016274"", ""9019060"", ""9037499"", ""9013314""]",0.0,2,0,0,0.0714,31,0.0292,0.2679,41.8,[]
9058064,微软Win10停服,微软Win10停服,技术产品与安全,industry_chain,weak,2026-05-15,2026-04-24,33,0,"[""9058017"", ""9058770"", ""9047427"", ""9025613"", ""9014648""]",0.0,2,0,0,0.0476,33,0.031,0.2619,41.49,[]
9062454,AI产业链五大核心,AI产业链五大核心,技术突破与产业链,industry_chain,weak,2026-05-15,2026-04-24,32,0,"[""9041842"", ""9022152"", ""9064386"", ""9059230"", ""9065423"", ""9058119"", ""9034544"", ""9023579""]",0.2,4,1,0,0.125,32,0.0301,0.2612,41.42,"[""AI产业链五大核心""]"
9030409,AR眼镜,AR眼镜,技术产业链,industry_chain,strong,2026-05-15,2026-04-24,84,30,"[""9023110"", ""9040246"", ""9062130"", ""9040603"", ""9038540"", ""9022942"", ""9019349"", ""9064078""]",0.0,11,0,0,0.0465,84,0.779,0.1116,41.17,[]
9063053,CPU虚拟化,CPU虚拟化,技术平台与调度系统,industry_chain,weak,2026-05-15,2026-04-24,12,0,"[""9020631""]",0.0,2,0,0,0.05,12,0.0113,0.2625,41.03,[]
129,交通运输,交通运输,产业链/供应链与政策驱动复合型题材,industry_chain,strong,2026-05-15,2026-04-24,99,0,"[""9024980"", ""9061633"", ""9012443"", ""9057875"", ""9042073"", ""9010250"", ""54"", ""9064639""]",0.5,2,0,8,0.0769,99,0.0931,0.3942,40.98,"[""物流行业"", ""供应链行业""]"
9038226,马年概念,马年概念,技术突破,industry_chain,weak,2026-05-15,2026-04-24,38,0,[],0.0,2,0,0,0.0,38,0.0357,0.25,40.89,[]
9060591,2025年12月事件前瞻,2025年12月事件前瞻,技术应用与产业链融合,industry_chain,weak,2026-04-28,2026-04-24,112,21,"[""9034824"", ""9062213"", ""9045339"", ""9040224"", ""9056870"", ""9014193"", ""9065824"", ""9062497""]",0.0,5,0,8,0.0667,112,0.5953,0.0167,40.89,[]
9049638,益生菌,益生菌,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,13,0,"[""9035051"", ""9018618"", ""9016453"", ""9011456"", ""9010473"", ""9044821""]",0.0,2,0,0,0.0385,13,0.0122,0.2596,40.88,[]
9048533,中美互降关税,中美互降关税,技术突破,industry_chain,weak,2026-05-15,2026-04-24,81,0,"[""9031192"", ""9059704"", ""9031543"", ""9028878"", ""9064082"", ""9019349"", ""9010168"", ""9047508""]",0.25,3,0,0,0.0667,81,0.0762,0.2292,40.66,"[""轻工制造""]"
